Date,Weekday,Views,Reads,Fans
2019-04-18,Thursday,0,0,0
2019-04-19,Friday,0,0,0
2019-04-20,Saturday,0,0,0
2019-04-21,Sunday,0,0,0
2019-04-22,Monday,0,0,0
2019-04-23,Tuesday,0,0,0
2019-04-24,Wednesday,0,0,0
2019-04-25,Thursday,0,0,0
2019-04-26,Friday,0,1,0
2019-04-27,Saturday,5,2,0
2019-04-28,Sunday,1,1,0
2019-04-29,Monday,3,2,0
2019-04-30,Tuesday,0,0,0
2019-05-01,Wednesday,29,7,0
2019-05-02,Thursday,130,15,6
2019-05-03,Friday,46,10,1
2019-05-04,Saturday,11,1,0
2019-05-05,Sunday,17,7,1
2019-05-06,Monday,22,8,1
2019-05-07,Tuesday,19,8,1
2019-05-08,Wednesday,17,4,0
2019-05-09,Thursday,15,4,0
2019-05-10,Friday,7,2,0
2019-05-11,Saturday,6,1,0
2019-05-12,Sunday,4,2,0
2019-05-13,Monday,6,1,0
2019-05-14,Tuesday,25,11,9
2019-05-15,Wednesday,12,7,0
2019-05-16,Thursday,21,9,2
2019-05-17,Friday,16,8,2
2019-05-18,Saturday,5,1,0
2019-05-19,Sunday,12,2,1
2019-05-20,Monday,6,1,1
2019-05-21,Tuesday,29,12,0
2019-05-22,Wednesday,10,3,0
2019-05-23,Thursday,2,1,0
2019-05-24,Friday,5,3,0
2019-05-25,Saturday,17,8,1
2019-05-26,Sunday,4,0,0
2019-05-27,Monday,5,3,0
2019-05-28,Tuesday,6,3,0
2019-05-29,Wednesday,3,2,0
2019-05-30,Thursday,14,11,1
2019-05-31,Friday,3,2,0
2019-06-01,Saturday,2,1,0
2019-06-02,Sunday,2,1,0
2019-06-03,Monday,5,2,0
2019-06-04,Tuesday,10,2,0
2019-06-05,Wednesday,21,4,1
2019-06-06,Thursday,5,2,1
2019-06-07,Friday,4,1,1
2019-06-08,Saturday,4,1,0
2019-06-09,Sunday,2,0,1
2019-06-10,Monday,9,0,0
2019-06-11,Tuesday,5,2,0
2019-06-12,Wednesday,3,0,0
2019-06-13,Thursday,7,5,1
2019-06-14,Friday,1,1,0
2019-06-15,Saturday,35,21,0
2019-06-16,Sunday,14,11,0
2019-06-17,Monday,170,39,1
2019-06-18,Tuesday,79,35,2
2019-06-19,Wednesday,31,9,3
2019-06-20,Thursday,34,11,1
2019-06-21,Friday,23,9,1
2019-06-22,Saturday,13,5,0
2019-06-23,Sunday,19,5,2
2019-06-24,Monday,38,11,1
2019-06-25,Tuesday,29,8,3
2019-06-26,Wednesday,36,6,1
2019-06-27,Thursday,20,5,0
2019-06-28,Friday,17,4,2
2019-06-29,Saturday,9,2,0
2019-06-30,Sunday,15,3,0
2019-07-01,Monday,21,9,0
2019-07-02,Tuesday,25,7,0
2019-07-03,Wednesday,23,6,0
2019-07-04,Thursday,22,9,0
2019-07-05,Friday,17,3,0
2019-07-06,Saturday,24,9,0
2019-07-07,Sunday,25,8,0
2019-07-08,Monday,42,12,2
2019-07-09,Tuesday,119,17,2
2019-07-10,Wednesday,47,17,1
2019-07-11,Thursday,41,13,1
2019-07-12,Friday,133,45,3
2019-07-13,Saturday,200,78,8
2019-07-14,Sunday,112,38,1
2019-07-15,Monday,133,64,8
2019-07-16,Tuesday,81,21,0
2019-07-17,Wednesday,61,21,0
2019-07-18,Thursday,56,23,3
2019-07-19,Friday,47,21,0
2019-07-20,Saturday,50,14,0
2019-07-21,Sunday,32,13,1
2019-07-22,Monday,60,28,0
2019-07-23,Tuesday,41,9,0
2019-07-24,Wednesday,46,24,0
2019-07-25,Thursday,64,21,0
2019-07-26,Friday,44,17,0
2019-07-27,Saturday,20,12,0
2019-07-28,Sunday,21,8,0
2019-07-29,Monday,44,11,0
2019-07-30,Tuesday,56,13,2
2019-07-31,Wednesday,62,30,1
2019-08-01,Thursday,46,10,0
2019-08-02,Friday,54,16,0
2019-08-03,Saturday,31,8,0
2019-08-04,Sunday,36,5,0
2019-08-05,Monday,48,16,0
2019-08-06,Tuesday,62,19,1
2019-08-07,Wednesday,49,17,1
2019-08-08,Thursday,45,20,0
2019-08-09,Friday,41,17,1
2019-08-10,Saturday,15,11,4
2019-08-11,Sunday,63,23,4
2019-08-12,Monday,58,20,0
2019-08-13,Tuesday,57,20,1
2019-08-14,Wednesday,36,11,0
2019-08-15,Thursday,53,13,0
2019-08-16,Friday,37,7,0
2019-08-17,Saturday,24,5,0
2019-08-18,Sunday,45,17,0
2019-08-19,Monday,36,8,0
2019-08-20,Tuesday,66,24,1
2019-08-21,Wednesday,55,18,0
2019-08-22,Thursday,47,20,1
2019-08-23,Friday,38,16,0
2019-08-24,Saturday,18,10,0
2019-08-25,Sunday,29,12,1
2019-08-26,Monday,95,39,5
2019-08-27,Tuesday,60,29,0
2019-08-28,Wednesday,14,9,1
2019-08-29,Thursday,21,12,0
2019-08-30,Friday,28,8,0
2019-08-31,Saturday,30,9,2
2019-09-01,Sunday,24,5,0
2019-09-02,Monday,60,26,0
2019-09-03,Tuesday,38,17,0
2019-09-04,Wednesday,59,25,1
2019-09-05,Thursday,40,16,0
2019-09-06,Friday,31,12,0
2019-09-07,Saturday,27,14,0
2019-09-08,Sunday,41,19,5
2019-09-09,Monday,75,37,2
2019-09-10,Tuesday,51,28,3
2019-09-11,Wednesday,47,15,0
2019-09-12,Thursday,54,19,0
2019-09-13,Friday,54,22,0
2019-09-14,Saturday,34,14,2
